2026-01-31 22:03:35 | DEBUG    | asyncio | Using proactor: IocpProactor
2026-01-31 22:03:35 | INFO     | __main__ | ============================================================
2026-01-31 22:03:35 | INFO     | __main__ | STARTING PDF PROCESSING TEST
2026-01-31 22:03:35 | INFO     | __main__ | ============================================================
2026-01-31 22:03:35 | INFO     | __main__ | Initializing database...
2026-01-31 22:03:35 | DEBUG    | aiosqlite | executing <function connect.<locals>.connector at 0x0000021EA4FE6980>
2026-01-31 22:03:35 | DEBUG    | aiosqlite | operation <function connect.<locals>.connector at 0x0000021EA4FE6980> completed
2026-01-31 22:03:35 | DEBUG    | aiosqlite | executing functools.partial(<built-in method create_function of sqlite3.Connection object at 0x0000021EA4FE18A0>, 'regexp', 2, <function SQLiteDialect_pysqlite.on_connect.<locals>.regexp at 0x0000021EA4FE5C60>, deterministic=True)
2026-01-31 22:03:35 | DEBUG    | aiosqlite | operation functools.partial(<built-in method create_function of sqlite3.Connection object at 0x0000021EA4FE18A0>, 'regexp', 2, <function SQLiteDialect_pysqlite.on_connect.<locals>.regexp at 0x0000021EA4FE5C60>, deterministic=True) completed
2026-01-31 22:03:35 | DEBUG    | aiosqlite | executing functools.partial(<built-in method create_function of sqlite3.Connection object at 0x0000021EA4FE18A0>, 'floor', 1, <built-in function floor>, deterministic=True)
2026-01-31 22:03:35 | DEBUG    | aiosqlite | operation functools.partial(<built-in method create_function of sqlite3.Connection object at 0x0000021EA4FE18A0>, 'floor', 1, <built-in function floor>, deterministic=True) completed
2026-01-31 22:03:35 | DEBUG    | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000021EA4FE18A0>)
2026-01-31 22:03:35 | DEBUG    | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000021EA4FE18A0>) completed
2026-01-31 22:03:35 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x0000021EA4FD9540>, 'PRAGMA read_uncommitted', [])
2026-01-31 22:03:35 | DEBUG    | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x0000021EA4FD9540>, 'PRAGMA read_uncommitted', []) completed
2026-01-31 22:03:35 | DEBUG    | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x0000021EA4FD9540>)
2026-01-31 22:03:35 | DEBUG    | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x0000021EA4FD9540>) completed
2026-01-31 22:03:35 | DEBUG    | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x0000021EA4FD9540>)
2026-01-31 22:03:35 | DEBUG    | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x0000021EA4FD9540>) completed
2026-01-31 22:03:35 | DEBUG    | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x0000021EA4FE18A0>)
2026-01-31 22:03:35 | DEBUG    | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x0000021EA4FE18A0>) completed
2026-01-31 22:03:35 | INFO     | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-01-31 22:03:35 | INFO     | sqlalchemy.engine.Engine | PRAGMA main.table_info("datasheets")
2026-01-31 22:03:35 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2026-01-31 22:03:35 | DEBUG    | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000021EA4FE18A0>)
2026-01-31 22:03:35 | DEBUG    | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000021EA4FE18A0>) completed
2026-01-31 22:03:35 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x0000021EA4FD9A40>, 'PRAGMA main.table_info("datasheets")', ())
2026-01-31 22:03:35 | DEBUG    | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x0000021EA4FD9A40>, 'PRAGMA main.table_info("datasheets")', ()) completed
2026-01-31 22:03:35 | DEBUG    | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x0000021EA4FD9A40>)
2026-01-31 22:03:35 | DEBUG    | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x0000021EA4FD9A40>) completed
2026-01-31 22:03:35 | DEBUG    | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x0000021EA4FD9A40>)
2026-01-31 22:03:35 | DEBUG    | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x0000021EA4FD9A40>) completed
2026-01-31 22:03:35 | INFO     | sqlalchemy.engine.Engine | PRAGMA main.table_info("datasheet_revisions")
2026-01-31 22:03:35 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2026-01-31 22:03:35 | DEBUG    | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000021EA4FE18A0>)
2026-01-31 22:03:35 | DEBUG    | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000021EA4FE18A0>) completed
2026-01-31 22:03:35 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x0000021EA4FD9A40>, 'PRAGMA main.table_info("datasheet_revisions")', ())
2026-01-31 22:03:35 | DEBUG    | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x0000021EA4FD9A40>, 'PRAGMA main.table_info("datasheet_revisions")', ()) completed
2026-01-31 22:03:35 | DEBUG    | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x0000021EA4FD9A40>)
2026-01-31 22:03:35 | DEBUG    | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x0000021EA4FD9A40>) completed
2026-01-31 22:03:35 | DEBUG    | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x0000021EA4FD9A40>)
2026-01-31 22:03:35 | DEBUG    | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x0000021EA4FD9A40>) completed
2026-01-31 22:03:35 | INFO     | sqlalchemy.engine.Engine | PRAGMA main.table_info("part_schemas")
2026-01-31 22:03:35 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2026-01-31 22:03:35 | DEBUG    | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000021EA4FE18A0>)
2026-01-31 22:03:35 | DEBUG    | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000021EA4FE18A0>) completed
2026-01-31 22:03:35 | DEBUG    | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x0000021EA4FD9A40>, 'PRAGMA main.table_info("part_schemas")', ())
2026-01-31 22:03:35 | DEBUG    | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x0000021EA4FD9A40>, 'PRAGMA main.table_info("part_schemas")', ()) completed
2026-01-31 22:03:35 | DEBUG    | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x0000021EA4FD9A40>)
2026-01-31 22:03:35 | DEBUG    | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x0000021EA4FD9A40>) completed
2026-01-31 22:03:35 | DEBUG    | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x0000021EA4FD9A40>)
2026-01-31 22:03:35 | DEBUG    | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x0000021EA4FD9A40>) completed
2026-01-31 22:03:35 | INFO     | sqlalchemy.engine.Engine | PRAGMA main.table_info("spec_fields")
2026-01-31 22:03:35 | INFO     | sqlalchemy.engine.Engine | [raw sql] ()
2026-01-31 22:03:35 | DEBUG    | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x0000021EA4FE18A0>)
